"from_protein","to_protein","from_symbol","to_symbol","combined_score"
"9606.ENSP00000304592","9606.ENSP00000216392","FASN","PYGL",421
"9606.ENSP00000229795","9606.ENSP00000216392","MAPK14","PYGL",418
"9606.ENSP00000285930","9606.ENSP00000216392","AKR1B1","PYGL",450
"9606.ENSP00000478887","9606.ENSP00000216797","MYC","NFKBIA",639
"9606.ENSP00000284818","9606.ENSP00000216797","LY96","NFKBIA",579
"9606.ENSP00000229795","9606.ENSP00000216797","MAPK14","NFKBIA",829
"9606.ENSP00000381607","9606.ENSP00000216797","GSTP1","NFKBIA",525
"9606.ENSP00000305372","9606.ENSP00000216797","ADRB2","NFKBIA",538
"9606.ENSP00000416066","9606.ENSP00000216797","SERPINA1","NFKBIA",495
"9606.ENSP00000363512","9606.ENSP00000216797","ALOX5","NFKBIA",420
"9606.ENSP00000263341","9606.ENSP00000216797","IL1B","NFKBIA",945
"9606.ENSP00000331602","9606.ENSP00000229795","PRKCD","MAPK14",458
"9606.ENSP00000263341","9606.ENSP00000229795","IL1B","MAPK14",782
"9606.ENSP00000381607","9606.ENSP00000229795","GSTP1","MAPK14",613
"9606.ENSP00000478887","9606.ENSP00000229795","MYC","MAPK14",710
"9606.ENSP00000362108","9606.ENSP00000231751","LCN2","LTF",996
"9606.ENSP00000416066","9606.ENSP00000231751","SERPINA1","LTF",654
"9606.ENSP00000263341","9606.ENSP00000231751","IL1B","LTF",638
"9606.ENSP00000362608","9606.ENSP00000261523","PIM1","RORA",425
"9606.ENSP00000478887","9606.ENSP00000261523","MYC","RORA",556
"9606.ENSP00000305372","9606.ENSP00000263341","ADRB2","IL1B",503
"9606.ENSP00000416066","9606.ENSP00000263341","SERPINA1","IL1B",603
"9606.ENSP00000299663","9606.ENSP00000263341","CLEC4E","IL1B",782
"9606.ENSP00000363512","9606.ENSP00000263341","ALOX5","IL1B",621
"9606.ENSP00000331602","9606.ENSP00000263341","PRKCD","IL1B",414
"9606.ENSP00000284818","9606.ENSP00000263341","LY96","IL1B",723
"9606.ENSP00000353731","9606.ENSP00000263341","DPP4","IL1B",581
"9606.ENSP00000380008","9606.ENSP00000263341","LTB4R","IL1B",446
"9606.ENSP00000478887","9606.ENSP00000263341","MYC","IL1B",778
"9606.ENSP00000483552","9606.ENSP00000263341","FURIN","IL1B",496
"9606.ENSP00000304592","9606.ENSP00000263341","FASN","IL1B",445
"9606.ENSP00000349446","9606.ENSP00000263341","ARG1","IL1B",800
"9606.ENSP00000362108","9606.ENSP00000263341","LCN2","IL1B",761
"9606.ENSP00000331602","9606.ENSP00000285930","PRKCD","AKR1B1",400
"9606.ENSP00000353731","9606.ENSP00000285930","DPP4","AKR1B1",436
"9606.ENSP00000381607","9606.ENSP00000285930","GSTP1","AKR1B1",488
"9606.ENSP00000362463","9606.ENSP00000285930","GLO1","AKR1B1",678
"9606.ENSP00000297785","9606.ENSP00000285930","ALDH1A1","AKR1B1",417
"9606.ENSP00000478887","9606.ENSP00000297785","MYC","ALDH1A1",592
"9606.ENSP00000339787","9606.ENSP00000304592","ACSL4","FASN",969
"9606.ENSP00000322229","9606.ENSP00000304592","FADS1","FASN",624
"9606.ENSP00000478887","9606.ENSP00000304592","MYC","FASN",508
"9606.ENSP00000350012","9606.ENSP00000304592","ACSL3","FASN",964
"9606.ENSP00000416066","9606.ENSP00000305372","SERPINA1","ADRB2",407
"9606.ENSP00000497474","9606.ENSP00000317780","COX7B","COX5A",995
"9606.ENSP00000425759","9606.ENSP00000317780","COX7C","COX5A",999
"9606.ENSP00000363512","9606.ENSP00000322229","ALOX5","FADS1",427
"9606.ENSP00000341779","9606.ENSP00000331602","PPP1CC","PRKCD",501
"9606.ENSP00000478887","9606.ENSP00000331602","MYC","PRKCD",481
"9606.ENSP00000363512","9606.ENSP00000339787","ALOX5","ACSL4",465
"9606.ENSP00000350012","9606.ENSP00000339787","ACSL3","ACSL4",772
"9606.ENSP00000478887","9606.ENSP00000341779","MYC","PPP1CC",428
"9606.ENSP00000478887","9606.ENSP00000349446","MYC","ARG1",467
"9606.ENSP00000362108","9606.ENSP00000349446","LCN2","ARG1",416
"9606.ENSP00000483552","9606.ENSP00000353731","FURIN","DPP4",659
"9606.ENSP00000416066","9606.ENSP00000353731","SERPINA1","DPP4",453
"9606.ENSP00000416066","9606.ENSP00000362108","SERPINA1","LCN2",426
"9606.ENSP00000416066","9606.ENSP00000362608","SERPINA1","PIM1",863
"9606.ENSP00000478887","9606.ENSP00000362608","MYC","PIM1",796
"9606.ENSP00000380008","9606.ENSP00000363512","LTB4R","ALOX5",722
"9606.ENSP00000411532","9606.ENSP00000381607","TOP2A","GSTP1",477
"9606.ENSP00000478887","9606.ENSP00000381607","MYC","GSTP1",472
"9606.ENSP00000478887","9606.ENSP00000411532","MYC","TOP2A",577
"9606.ENSP00000483552","9606.ENSP00000416066","FURIN","SERPINA1",511
"9606.ENSP00000497474","9606.ENSP00000425759","COX7B","COX7C",999
