AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,Indegree,IsSingleNode,name,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress
2,0,0.5,0.5,3,2,1,FALSE,TOP2A,8.5,1,0,FALSE,0,TOP2A,0
2.285714286,0,0.4375,0.5,3,2,1,FALSE,PPP1CC,8.5,1,0,FALSE,0,PPP1CC,0
1,0,1,0.5,1,2,1,FALSE,COX7C,2,1,0,FALSE,0,COX7C,0
0,0,0,0.5,0,2,2,FALSE,COX5A,2,0,0,FALSE,0,COX5A,0
1,0,1,0.5,1,2,0,FALSE,COX7B,2,2,0,FALSE,0,COX7B,0
2.142857143,0,0.466666667,0.5,3,2,0,FALSE,ACSL3,4.5,2,0,FALSE,0,ACSL3,0
2.333333333,0.004409171,0.428571429,0,3,2,1,FALSE,FADS1,5.5,1,0,FALSE,0,FADS1,7
2.333333333,0.004409171,0.428571429,0.166666667,3,3,2,FALSE,ACSL4,4.333333333,1,0,FALSE,0,ACSL4,7
1.5,0.005291005,0.666666667,0,2,2,1,FALSE,ALDH1A1,9,1,0,FALSE,0,ALDH1A1,12
1.5,0,0.666666667,0,2,1,0,FALSE,GLO1,6,1,0,FALSE,0,GLO1,0
2,0,0.5,0.333333333,3,3,2,FALSE,ARG1,10.66666667,1,0,FALSE,0,ARG1,0
2,0,0.5,0.5,3,3,0,FALSE,FURIN,9.333333333,3,0,FALSE,0,FURIN,0
2,0,0.5,0.5,3,2,0,FALSE,LTB4R,10.5,2,0,FALSE,0,LTB4R,0
1.666666667,0.009920635,0.6,0.25,2,4,2,FALSE,DPP4,8.25,2,0,FALSE,0,DPP4,10
2,0,0.5,0,3,1,0,FALSE,CLEC4E,16,1,0,FALSE,0,CLEC4E,0
0,0,0,0.5,0,2,2,FALSE,RORA,7.5,0,0,FALSE,0,RORA,0
1,0.006613757,1,0.166666667,1,3,2,FALSE,PIM1,7.333333333,1,0,FALSE,0,PIM1,5
0,0,0,0.5,0,3,3,FALSE,LTF,9.333333333,0,0,FALSE,0,LTF,0
1.666666667,0.006613757,0.6,0.333333333,3,4,1,FALSE,LCN2,7.5,3,0,FALSE,0,LCN2,5
1.5,0.052910053,0.666666667,0.2,2,5,2,FALSE,PRKCD,8.4,3,0,FALSE,0,PRKCD,60
1.25,0.792107584,0.8,0.083333333,2,16,13,FALSE,IL1B,4.6875,3,0,FALSE,0,IL1B,623
1.625,0.023148148,0.615384615,0.1,3,5,1,FALSE,ALOX5,6.2,4,0,FALSE,0,ALOX5,25
1.5,0.015873016,0.666666667,0.160714286,3,8,1,FALSE,SERPINA1,5.5,7,0,FALSE,0,SERPINA1,14
1.8,0,0.555555556,0.5,3,3,1,FALSE,ADRB2,10.66666667,2,0,FALSE,0,ADRB2,0
1.25,0.137566138,0.8,0.2,2,5,2,FALSE,GSTP1,6.8,3,0,FALSE,0,GSTP1,137
1.8,0,0.555555556,0.5,3,2,0,FALSE,LY96,12,2,0,FALSE,0,LY96,0
0,0,0,0.178571429,0,8,8,FALSE,NFKBIA,7.125,0,0,FALSE,0,NFKBIA,0
1.2,0,0.833333333,0.090909091,2,12,0,FALSE,MYC,5,12,0,FALSE,0,MYC,0
1,0.123015873,1,0,1,6,5,FALSE,AKR1B1,3.333333333,1,0,FALSE,0,AKR1B1,128
1,0.220679012,1,0.233333333,1,6,4,FALSE,MAPK14,8.166666667,2,0,FALSE,0,MAPK14,225
0,0,0,0,0,3,3,FALSE,PYGL,6,0,0,FALSE,0,PYGL,0
1.6,0.352733686,0.625,0.066666667,2,6,4,FALSE,FASN,6.333333333,2,0,FALSE,0,FASN,274
,0.054852844,0.559775164,0.267610254,1.96875,4.0625,,,,,,,,,,
